cID,compID,Year,Brand,Model,Lap Time I,RC I,Tire II,Lap Time II,RC II,Tire III,Lap Time III,RC III,Country,MSRP (2022 USD),WHP,WTQ,Weight,P/W (hp/t),Layout,Trans,Rating,DR,_HD,Author,Source,Comments / Other Times,,,,,,,,,,
92,4,2009,Audi,R8 V10 5.2 FSI,1:04.87,0,,,,,,,Germany,"$220,881.99",485,474,1671,290.2453621,M4,AT,,2,L,Audi,irl,,,,,,,,,,,
93,4,2007,Audi,R8 V10 Plus,1:03.412,0,SM,1:02.994,,,,,Germany,"$220,881.99",466,454,1620,287.654321,M4,AT,3.5,2,L,Kunos,AC,,,,,,,,,,,
94,5,2016,Audi,R8 V10 Plus,1:02.21,0,,,,,,,Germany,"$284,385.57",515,378,1637,314.5998778,M4,AT,,2,L,Audi,irl,,,,,,,,,,,
95,5,2016,Audi,R8 V10 Plus,0:58.080,3,MPSC2,0:56.789,3,,,,Germany,"$284,385.57",654,604,1580,413.9240506,M4,AT,2,2,L,Velo x TGN,Patreon,data power/torque is way too high and magic tires or audi needs to send an r8 to japan rn for a record lol,,,,,,,,,,
96,5,2020,Audi,R8 V10 Performance Decennium,1:03.103,0,SM,1:02.008,0,,,,Germany,"$200,295.00",519,524,1670,310.7784431,M4,AT,,2,L,?,link,,,,,,,,,,,
97,5,2021,Audi,R8 V10 Performance,0:57.795,3,,,,,,,Germany,"$200,295.00",539,518,1580,341.1392405,M4,AT,2,2,L,Ajiyizhihua,link,,,,,,,,,,,
1490,0,2021,Audi,R8 V10 Performance,,,,,,,,,Germany,"$200,295.00",539,518,1580,341.1392405,M4,AT,,2,L,MoulagaZzZ,link,,,,,,,,,,,
98,0,1993,Audi,RS2 Avant,,,,,,,,,Germany,"$138,986.20 ",242,380,1595,151.7241379,F4,MT,,5,L,Gentle Mind Performance,link,,,,,,,,,,,
99,0,2003,Audi,A3 3.2 Quattro (8P),1:10.420,0,,,,,,,Germany,"$43,703.67 ",209,289,1565,133.5463259,F4,AT,,3,L,Audi,irl,,,,,,,,,,,
100,6,2008,Audi,S3 Sportback (8P),1:10.01,0,,,,,,,Germany,"$62,123.06",273,396,1570,173.8853503,F4,AT,,5,L,Audi,irl,,,,,,,,,,,
