Rank,Vehicle,Driver,Time,PS / KG
149.,Impreza S202 STI Version,unknown,1:06.35,320 / 1330
150.,Nissan Skyline GT-R V-Spec II,unknown,1:06.37,315 / 1560
151.,Porsche Boxster S (987 280 PS),unknown,1:06.40,280 / 1395
152.,TVR Tamora,unknown,1:06.41,355 / 1060
153.,Mitsubishi Lancer Evo X GSR,unknown,1:06.46,280 / -
154.,Mercedes-Benz E63 AMG,unknown,1:06.50,525 / 1848
155.,Subaru Impreza WRX Type R STI,unknown,1:06.51,284 / 1240
156.,Mitsubishi Lancer Evo II RS,unknown,1:06.52,260 / 1180
157.,Subaru Impreza WRX Type RA STI,unknown,1:06.52,280 / 1200
158.,Honda NSX (3.2),unknown,1:06.53,280 / 1390
159.,Renault Megane RS 275 Trophy R,Seiji Ara,1:06.56,279 / 1302
160.,BMW M5 (E60),Keiichi Tsuchiya,1:06.56,507 / 1878
161.,Subaru Impreza WRX STI Type RA,unknown,1:06.56,280 / -
162.,Subaru WRX STI (2.0 JDM),Manabu Orido,1:06.62,308 / 1485
163.,Nissan Nismo 370Z,unknown,1:06.64,355 / 1500
164.,Renault Megane RS 275 Trophy R,Kazuo Shimizu,1:06.65,279 / 1302
165.,Porsche Cayman S,unknown,1:06.65,320 / 1420
166.,Nissan 370Z,unknown,1:06.67,330 / 1842
167.,Honda Civic Type RR Mugen,unknown,1:06.68,241 / 1220
168.,Nissan Skyline GT-R (R32),unknown,1:06.72,280 / 1480
169.,Skyline GT-R V-Spec II Nur,unknown,1:06.73,280 / -
170.,Lexus RC F,Nobuteru Taniguchi,1:06.75,477 / 1817
171.,RUF BR2 EKS,unknown,1:06.77,360 / 1355
172.,Subaru WRX STI (2.0 JDM),unknown,1:06.79,308 / 1485
173.,BMW M3 (E46),unknown,1:06.82,343 / 1567
174.,Porsche 911 Carrera RS N/GT,unknown,1:06.85,260 / 1220
175.,BMW M3 CSL (E46),unknown,1:06.88,360 / 1409
176.,Toyota GR Yaris (Mk IV),Keiichi Tsuchiya,1:06.95,272 / 1292
177.,Mercedes - AMG A35 4Matic,unknown,1:06.95,306 / 1600
178.,BMW M440i xDrive,unknown,1:06.95,387 / 1789
179.,Toyota MR2 GT-S,unknown,1:06.95,245 / 1260
180.,Mitsubishi Lancer Evo IV RS,unknown,1:07.00,280 / -
181.,Lancer Evo X GSR TC-SST,unknown,1:07.05,280 / -
182.,Stagea Autech Version 260 RS,unknown,1:07.07,280 / -
183.,Lexus IS F,Kinoshita San,1:07.09,423 / 1728
184.,Porsche 911 Carrera (996),unknown,1:07.13,300 / 1378
185.,Lotus Elise 111R,unknown,1:07.14,192 / 889
186.,Mercedes-Benz S65 AMG Coupe,unknown,1:07.15,630 / -
187.,Porsche 911 Carrera RS (993),unknown,1:07.15,300 / 1257
188.,Honda NSX (3.0),unknown,1:07.17,274 / 1368
189.,Porsche 911 Carrera 4S (993),unknown,1:07.18,285 / 1472
190.,Modified Honda S660,Manabu Orido,1:07.24,180 / 810
191.,Nissan 350Z (313 PS),unknown,1:07.30,313 / 1545
192.,Mitsubishi Lancer Evo III GSR,unknown,1:07.35,270 / 1259
193.,Mitsubishi GTO MR (Mk II),Katsura Shinichi,1:07.36,280 / 1650
194.,Mercedes-Benz C 63 AMG,unknown,1:07.37,457 / 1809
195.,Mitsubishi Lancer Evo IV GSR,unknown,1:07.38,279 / 1352
196.,Porsche 911 Carrera,unknown,1:07.39,320 / 1414
