Year,Brand,Model,Lap Time I, RC,Tire II,Lap Time II,RC,Tire III,Lap Time III,RC,Country,MSRP (2022 USD),WHP,WTorque,Weight,P/W (kg/hp),Layout,Trans,Rating,_HD,Author,Source,Comments / Other Times,,,,,,,
2020,Audi,RS3 (8V),1:03.110,3,,,,,,,Germany,"$64,312.44",364,388,1550,4.258241758,F4,AT,3.5,L,TGN,Patreon,"drives pretty good but i highly suspect it has too much grip but then again the car seems well suited for the track irl, good model/details",,,,,,,
2020,Audi,RS3 (8V),,,,,,,,,Germany,"$64,312.44",352,477,1575,4.474431818,F4,AT,,L,TGN,Patreon,,,,,,,,
2022,Audi,RS3 (8Y),,,,,,,,,Germany,"$66,106.64",396,490,1575,3.977272727,F4,AT,,L,Lioux,link,,,,,,,,
2001,Audi,RS4 Avant (B5),1:08.185,1,,,,,,,Germany,,326,383,1620,4.969325153,F4,MT,3,L,101Creative (AO Mods),Patreon,,,,,,,,
2004,Audi,S4 (B6),,,,,,,,,Germany,,359,348,1735,4.832869081,F4,MT,,L,PedroBLR,link,too much power ,,,,,,,
2006,Audi,RS4 (B7),1:06.424,1,SMS,1:05.661,1,,,,Germany,"$98,303.71",360,374,1650,4.583333333,F4,MT,4,L,Dan Bucsa,Patreon,"good physics model and ffb, st tire feels like period tire sms feels like a modern equivalent but car brakes too hard/ little too much grip on both tires",,,,,,,
2005,Audi,RS4 (B7),1:08.37,0,,,,,,,Germany,"$98,303.71",345,376,1650,4.782608696,F4,MT,,L,Audi,irl,"cold track, moist",,,,,,,
2010,Audi,S4 (B8),,,,,,,,,Germany,"$69,269.92",264,394,1725,6.534090909,F4,AT,,L,zorrogsi,link,too little power- closer to an a4,,,,,,,
2013,Audi,RS4 (B8),1:04.149,1,,,,,,,Germany,"$99,165.67",410,386,1685,4.109756098,F4,AT,3.5,L,TGN,Patreon,,,,,,,,
2018,Audi,RS4 Avant (B9) ,,,,,,,,,Germany,"$95,489.60",435,454,1800,4.137931034,F4,AT,,R,MoulagaZzZ,Patreon,,,,,,,,
2020,Audi,RS4 Avant (B9) ,,,,,,,,,Germany,"$95,489.60",395,523,1715,4.341772152,F4,AT,,L,Ceky Performance,,,,,,,,,
2010,Audi,RS5 (8T),,,,,,,,,Germany,"$117,106.91",452,430,1725,3.816371681,F4,AT,,L,jeff insurance,link,power+torque too high,,,,,,,
2018,Audi,RS5 (8W6),,,,,,,,,Germany,,387,522,1655,4.276485788,F4,AT,,L,Buja Gili,link,,,,,,,,
2021,Audi,RS5 (8W6),1:03.564,3,,,,,,,Germany,"$75,900.00",518,525,1800,3.474903475,F4,AT,3,L,TGN,Patreon,power+torque too high + tires probably overperforming,,,,,,,
2002,Audi,RS6 (C5),1:06.995,2,SM,1:06.065,3,,,,Germany,"$131,704.72",519,640,1820,3.506743738,F4,MT,3.5,L,101Creative,PAtreon,power too high torque too low tires too sticky,,,,,,,
2002,Audi,RS6 (C5),1:09.69,0,,,,,,,Germany,"$131,704.72",394,580,1880,4.771573604,F4,MT,,L,Audi,irl,,,,,,,,
2009,Audi,RS6 V10 Avant (C6),1:05.371,3,,,,,,,Germany,"$216,740.46",523,532,1985,3.79541109,F4,MT,3.5,L,TGN,Patreon,tires have too much grip especially for a ~2 ton car from 2009 ,,,,,,,
2017,Audi,A6 40 TFSI (C7),,,,,,,,,Germany,,221,328,1725,7.805429864,F4,AT,,L,Aijiyizhihua,,,,,,,,,
2015,Audi,RS6 Avant Performance (C7),,,,,,,,,Germany,,573,600,1875,3.272251309,F4,AT,,L,Bruce Kelt (u. Mr Suzuki),link,,,,,,,,
2020,Audi,RS6 Avant (C8),1:05.209,0,,,,,,,Germany,"$119,995.00",544,768,2075,3.814338235,F4,AT,4.5,L,Jandrovi,Youtube,"great and believable at the limit, only ding is sound is a little off",,,,,,,
2020,Audi,RS6 Sedan (C8),1:04.909,0,,,,,,,Germany,"$119,995.00",523,704,2150,4.110898662,F4,AT,3.5,L,JustKapi,Youtube,,,,,,,,
2015,Audi,S7 Sportback (4G8),,,,,,,,,Germany,,449,564,1955,4.354120267,F4,AT,,L,?,link,,,,,,,,
2017,Audi,RS7 Sportback (4G8),,,,,,,,,Germany,"$157,618.75",580,607,1930,3.327586207,F4,AT,,L,A. Pezo,link,power way too high torque about right,,,,,,,
2017,Audi,RS7 Sportback (4G8),,,,,,,,,Germany,"$157,618.75",560,784,1930,3.446428571,F4,AT,,L,TGN,Patreon,power too high and torque way too high,,,,,,,
2005,Audi,S8,1:08.30,0,,,,,,,Germany,"$134,871.21",382,515,1940,5.078534031,F4,AT,,,,,,,,,,,,
2020,Audi,A8 55 TFSI (D5),,,,,,,,,Germany,"$98,637.20",338,514,2100,6.213017751,F4,AT,,L,DJP,link,,,,,,,,
2016,Audi,S8 Plus (D5),,,,,,,,,Germany,"$141,186.28",526,648,2065,3.925855513,F4,AT,,L,Fazani,,,,,,,,,
1994,Audi,Sport Quattro,1:11.244,0,ST,1:09.884,0,SM,1:08.404,0,Germany,,271,386,1298,4.789667897,F4,MT,3.5,L,Kunos,AC,,,,,,,,
1994,Audi,Sport Quattro,1:09.20,0,,,,,,,Germany,,251,287,1300,5.179282869,F4,MT,,L,Audi,irl,,,,,,,,
2015,Audi,S1,1.09.200,0,,,,,,,Germany,"$41,236.04",198,323,1340,6.767676768,F4,MT,4,L,Kunos,AC,drives like an eager puppy,,,,,,,
2015,Audi,S1,1:08.90,0,,,,,,,Germany,"$41,236.04",205,346,1350,6.585365854,F4,MT,,L,Audi,irl,,,,,,,,
2003,Audi,TT 3.2 Quattro DSG,1:11.457,0,SM,1:10.541,0,,,,Germany,"$65,382.97",209,289,1520,7.272727273,F4,AT,3,L,AC Cars Reworked,link,,,,,,,,
2003,Audi,TT 3.2 Quattro DSG,,,,,,,,,Germany,"$65,382.97",209,289,1520,7.272727273,F4,AT,,L,Mike08 Rework,Patreon,,,,,,,,
2003,Audi,TT 3.2 Quattro,1:11.81,0,,,,,,,Germany,"$65,382.97",209,289,1520,7.272727273,F4,AT,,L ,Audi,irl,,,,,,,,
2009,Audi,TT RS,,,,,,,,,Germany,"$91,976.64",335,398,1550,4.626865672,F4,AT,,L,Wack,link,,,,,,,,
2009,Audi,TT RS,1:06.27,0,,,,,,,Germany,"$91,976.64",335,380,1477,4.408955224,F4,AT,,L,Audi,irl,,,,,,,,
2017,Audi,TT RS,,,,,,,,,Germany,"$74,295.00",371,504,1620,4.366576819,F4,AT,,L,TGN,link,power/torque too high,,,,,,,
2019,Audi,TT S,,,,,,,,,Germany,"$61,995.00",270,348,1385,5.12962963,F4,AT,,L,101Creative (AO Mods),Patreon,,,,,,,,
1988,Audi,V8 D11,1:05.966,3,,,,,,,Germany,,279,400,1655,5.931899642,F4,MT,1,L,AC Workshop,link,1 star bc it is comically fast  just way too inaccurate for me to give benefit of doubt but its decent to drive if u like excessively grippy barges,,,,,,,
2012,Audi,Q7 V12 TDI,,,,,,,,,Germany,"$193,597.07",394,800,2635,6.687817259,F4,AT,,L,Wack,link,,,,,,,,
1958,Austin-Healey,Sprite,,,,,,,,,Britain,"$18,434.96",38,55,664,17.47368421,FR,MT,,L,Cameron Montlake-Mees,link,,,,,,,,
1959,Austin-Healey,100/6 BN6,1:22.009,0,,,,,,,Britain,"$34,805.62",99,172,1075,10.85858586,FR,MT,1.5,R,GeroDa74,link,1.5 star bc it drives pretty well but windscreen is translucent thus undrivable in cockpit cam,,,,,,,
1964,Austin,Mini Cooper S 1275,,,,,,,,,Britain,"$18,191.46",71,101,640,9.014084507,FF,MT,,R,Pessio Garage,RD,,,,,,,,
2011,BAC,MONO,0:57.171,0,,,,,,,Britain,"$217,718.23",260,269,580,2.230769231,MR,SEQ,5,M,BZ Simworks,FB,"incredibly precise and good ffb, theres probably 0.5-1s left in the car i just know it",,,,,,,
2010,Bentley,Continental GT,,,,,,,,,Britain,"$248,819.12",442,520,2320,5.248868778,F4,AT,,R,?,link,,,,,,,,
2017,Bentley,Continental GT Supersports,1:03.200,0,,,,,,,Britain,"$346,510.31",618,885,2280,3.689320388,F4,AT,3.5,L,Opperslang,kiunk,,,,,,,,
2018,Bentley,Continental GT ,,,,,,,,,Britain,"$263,899.56",544,634,2200,4.044117647,F4,AT,,L,Zipper,link,,,,,,,,
2018,Bentley,Bentayga,,,,,,,,,Britain,"$273,882.56",553,783,2245,4.059674503,F4,AT,,L,Fazani,link,,,,,,,,
2021,Bentley,Mulliner Bacalar,,,,,,,,,Britain,"$1,900,000.00",618,885,2339,3.784789644,F4,AT,,L,JustKapi,Patreon,,,,,,,,
1965,Bizzarrini,GT 5300,1:10.159,0,,,,,,,Italy,"$101,845.88",310,436,1250,4.032258065,FR,MT,3.5,L,Velo,link,,,,,,,,
2010,BMW,123D (E82),,,,,,,,,Germany,"$54,037.85",199,408,1318,6.623115578,FR,AT,,L,Redlex,link,power and torque too high,,,,,,,
2009,BMW,135i (E82),,,,,,,,,Germany,"$49,180.11",306,318,1560,5.098039216,FR,AT,,L,Gustavkti,link,low torque figure compared to optimistic power,,,,,,,
2009,BMW,135i (E82),,,,,,,,,Germany,"$49,180.11",328,443,1560,4.756097561,FR,MT,,L,?,link,very optimistic n54 power figures,,,,,,,
2007,BMW,135i (E82),1:07.86,0,,,,,,,Germany,"$49,180.11",275,437,1522,5.534545455,FR,AT,,L,BMW,irl,,,,,,,,
2014,BMW,M235i (F22),,3,,,,,,,Germany,"$55,321.76",355,535,1430,4.028169014,FR,MT,,L,TGN,Patreon,power way too high looks like a stage 1 tuen on paper,,,,,,,
2014,BMW,M235i (F22),1:09.10,0,,,,,,,Germany,"$55,321.76",307,436,1532,4.990228013,FR,MT,,R,BMW,irl,,,,,,,,
2015,BMW,118i (F21),,,,,,,,,Germany,"$45,296.92",156,216,1265,8.108974359,FR,MT,,L,Desafio?,link,way too light,,,,,,,
2015,BMW,M135i (F21),,,,,,,,,Germany,"$60,860.06",295,374,1425,4.830508475,FR,MT,,L,Desafio?,link,~100-150 kg too light,,,,,,,
1987,BMW,325i (E30),1:11.722(!),,,,,,,,Germany,"$69,734.20",156,216,1180,7.564102564,FR,MT,3.5,L,Cameron Montlake-Mees,RD,will retime with street90s tires rather than regular streets,,,,,,,
1987,BMW,325i Touring (E30),1:16.781,0,,,,,,,Germany,"$69,734.20",143,200,1300,9.090909091,FR,MT,4,L,Viper & abbo90,RD,"the e30 tourings are not 5 seconds slower just because of weight and power but also ""street90s"" tires",,,,,,,
1987,BMW,325iX Touring (E30),1:16.435,0,,,,,,,Germany,"$69,734.20",143,200,1370,9.58041958,F4,MT,4,L,Viper & abbo90,RD,,,,,,,,
1995,BMW,328i Cabrio (E36),,,,,,,,,Germany,"$76,541.33",237,259,1305,5.506329114,FR, ,,L,MNBA,link,"power too high, weight too low ",,,,,,,
2000,BMW,323ti Compact (E36),1:13.061,0,,,,,,,Germany,"$55,807.39",152,214,1515,9.967105263,FR,MT,4,L,101Creative (AO Mods),Patreon,,,,,,,,
2002,BMW,325i (E46),1:13.658,0,,,,,,,Germany (USDM),"$45,243.97",185,246,1463,7.908108108,FR,MT,2,L,Stereo,RD,"drives well enough, model is blurry and interior is bad but like funny bad (see it for yourself)",,,,,,,
2007,BMW,330i (E90),,,,,,,,,Germany,"$57,418.21",264,320,1630,6.174242424,FR,AT,,L,PTT Mods,,,,,,,,,
2006,BMW,335i (E90),1:10.57,0,,,,,,,Germany,"$56,453.90",263,386,1626,6.182509506,FR,AT,,R,BMW,irl,,,,,,,,
2008,BMW,335i (E92),1:07.003,1,MPS,1:06.512,2,,,,Germany,"$59,113.38",266,352,1600,6.015037594,FR,MT,3.5,L,MNBA,Patreon, not too far off irl e92 driving wise but both tires are much better than oem,,,,,,,
2012,BMW,328i (F30),1:14.21,0,,,,,,,Germany,"$48,128.72",222,332,1530,6.891891892,FR,AT,,R,BMW,irl,,,,,,,,
2013,BMW,435i (F32),,,,,,,,,Germany,"$59,786.64",302,409,1707,5.652317881,FR,AT,,L,PTT Mods,Patreon,,,,,,,,
2014,BMW,340i (F30),1:05.856,3,,,,,,,Germany,"$58,599.72",307,462,1430,4.657980456,FR,AT,4,L,TGN,Patreon,"despite the real F30 feeling inert, this mod is a p good drivers car but is too fast both power and grip wise",,,,,,,
2020,BMW,330i (G20),,,,,,,,,Germany,"$42,300.00",224,462,1470,6.5625,FR,AT,,L,Fazani,,,,,,,,,
