Year,Brand,Model,Lap Time I, RC,Tire II,Lap Time II,RC,Tire III,Lap Time III,RC,Country,MSRP (2022 USD),WHP,WTorque,Weight,P/W (kg/hp),Layout,Trans,Rating,_HD,Author,Source,Comments / Other Times,,,,,,,
2004,Honda,Civic Type R (EP3),1:10.858,0,,,,,,,Japan,,190,184,1205,6.342105263,FF,MT,3.5,R,101Creative,Patreon,,,,,,,,
2001,Honda,Civic Type R (EP3),1:08.98,0,,,,,,,Japan,,184,175,1210,6.576086957,FF,MT,,R,Honda,irl,,,,,,,,
2007,Honda,Civic Type R (FD2),1:08.280,0,,,,,,,Japan,,190,184,1263,6.647368421,FF,MT,4.5,R,Esprit3095,Youtube,"feels just like a tighter, peppier 8th gen si which has a special place in my heart <3",,,,,,,
2008,Honda,Civic Type R (FD2),1:07.49,0,,,,,,,Japan,,194,196,1270,6.546391753,FF,MT,,R,Honda,irl,,,,,,,,
2008,Honda,Civic Type RR Mugen (FD2),1:06.68,0,,,,,,,Japan,,208,210,1220,5.865384615,FF,MT,,R,Honda,irl,,,,,,,,
2009,Honda,Civic Type R (FN2),1:11.513,0,,,,,,,Japan,,190,184,1324,6.968421053,FF,MT,3.5,L,101Creative&RVZ,Patreon,,,,,,,,
2007,Honda,Civic Type R (FN2),1:12.22,0,,,,,,,Japan,,191,186,1348,7.057591623,FF,MT,,R,Honda,irl,,,,,,,,
2015,Honda,Civic Type R (FK2),1:06.419,0,MPS3,1:05.590,1,,,,Japan,,266,348,1382,5.195488722,FF,MT,4,R,RZZ,Patreon,seems like braking ability is too high with semis but on streets enjoyable and immersive,,,,,,,
2015,Honda,Civic Type R (FK2),1:06.48,0,,,,,,,Japan,,278,364,1400,5.035971223,FF,MT,,R,Honda,irl,damp?,,,,,,,
2019,Honda,Civic Type R (FK8),1:07.635,0,SM,1:06.832,0,HR,1:05.743,0,Japan,,278,348,1380,4.964028777,FF,MT,3,L,101Creative,Patreon,feels way too heavy under brakes and heavy understeer more than what seems reasonable based on my experience w fk8 ctr and reviews online,,,,,,,
2017,Honda,Civic Type R (FK8),1:05.967,0,,,,,,,Japan,,293,385,1405,4.795221843,FF,MT,,R,Honda,irl,,,,,,,,
2023,Honda,Civic Type R (FL5),1:05.892,0,SM,1:03.459,1,,,,Japan,,302,379,1430,4.735099338,FF,MT,3.5,R,Ceky Performance,Patreon,"both danzy and ceky fl5s are enjoyable and have the same physics, only possible issue is overperforming semis but cup 2's are black magic anyway",,,,,,,
2023,Honda,Civic Type R (FL5),1:05.925,0,SM,1:03.492,1,,,,Japan,,302,379,1420,4.701986755,FF,MT,3.5,R,Danzy,link,,,,,,,,
1985,Honda,CR-X Mugen (AF5),1:16.898,0,,,,,,,Japan,,110,162,860,7.818181818,FF,MT,3,R,Darek,link,possible skill issue could not get this car to work and therefore did not have a fun time,,,,,,,
1991,Honda,CR-X (EF6),1:12.98,0,,,,,,,Japan,,136,125,1010,7.426470588,FF,MT,,R,Honda,irl,,,,,,,,
1991,Honda,CR-X (EF6),1:12.424,0,,,,,,,Japan,,137,129,990,7.226277372,FF,MT,3,R,JakubP,link,,,,,,,,
1992,Honda,CRX Del-Sol VTI,1:15.89,0,,,,,,,Japan,,138,128,1080,7.826086957,FF,MT,,R,Honda,irl,,,,,,,,
1993,Honda,Integra (DA5),1:08.425,0,,,,,,,Japan,,158,152,1080,6.835443038,FF,MT,2,R,ACR,link,not even an integra is all i can say,,,,,,,
1993,Honda,Integra Si (DC2),1:13.12,0,,,,,,,Japan,,149,148,1147,7.697986577,FF,MT,,R,Honda,irl,,,,,,,,
1998,Honda,Integra Type R (DC2),1:10.546,0,SM,1:09.326,0,,,,Japan,,169,158,1102,6.520710059,FF,MT,4.5,R,?,link,very enjoyable and believable fwd experience ,,,,,,,
1995,Honda,Integra Type R (DC2),1.09.20,0,,,,,,,Japan,,171,161,1060,6.198830409,FF,MT,,R,Honda,irl,,,,,,,,
2004,Honda,Integra Type R (DC5),1:11.220,0,SM,1:08.549,1,,,,Japan,,165,155,1160,7.03030303,FF,MT,4,R,laymilk,link,,,,,,,,
2004,Honda,Integra Type R (DC5),1:09.36,0,,,,,,,Japan,,184,175,1180,6.413043478,FF,MT,,R,Honda,irl,,,,,,,,
1991,Honda,NSX (NA1),1:09.356,0,,,,,,,Japan,,243,258,1319,5.427983539,MR,MT,4.5,R,Some1,RD,probably the most realistic 90s tires and enjoyable below 10/10ths but tire model makes this and the rest of the nsx's extremely edgy at the limit ,,,,,,,
1992,Honda,NSX (NA1),1:07.170,0,,,,,,,Japan,,240,257,1368,5.7,MR,MT,,R,Honda,irl,,,,,,,,
1992,Honda,NSX-R (NA1),1:05.41,0,,,,,,,Japan,,244,260,1323,5.422131148,MR,MT,,R,Honda,irl,,,,,,,,
1992,Honda,NSX-R (NA1),,,,,,,,,Japan,,246,259,1211,4.922764228,MR,MT,,R,Some1,RD,,,,,,,,
1994,Honda,NSX-R (NA1),,,,,,,,,Japan,,246,259,1224,4.975609756,MR,MT,,R,Some1,RD,,,,,,,,
1997,Honda,NSX (NA1),1:08.710,0,,,,,,,Japan,,249,265,1390,5.582329317,MR,MT,,R,Honda,irl,,,,,,,,
1997,Honda,NSX Type S Zero (NA1),,,,,,,,,Japan,,248,259,1225,4.939516129,MR,MT,,R,Some1,RD,,,,,,,,
1999,Honda,NSX Type-S Zero (NA1),1:05.17,0,,,,,,,Japan,,249,265,1280,5.140562249,MR,MT,,R,Honda,irl,,,,,,,,
2004,Honda,NSX (NA2),1:06.89,0,,,,,,,Japan,,249,265,1368,5.493975904,MR,MT,,R,Honda,irl,,,,,,,,
2002,Honda,NSX-R (NA2),1:04.328,0,,,,,,,Japan,,249,265,1270,5.100401606,MR,MT,,R,Honda,irl,,,,,,,,
2002,Honda,NSX-R (NA2),,,,,,,,,Japan,,243,256,1170,4.814814815,MR,MT,,R,forceful,link,,,,,,,,
2016,Honda,NSX (NC1),1:02.47,0,,,,,,,Japan,,435,597,1770,4.068965517,MR,AT,,R,Honda,irl,,,,,,,,
2017,Honda,NSX (NC1),1:02.525,0,,,,,,,Japan,,438,479,1725,3.938356164,M4,AT,4,B,BLACK BOLT et al.,link,"seems down on power and hybrid simulation seems little off but then again hybrids in ac are difficult to replicate, enjoyable modern supercar",,,,,,,
2022,Honda,NSX Type S (NC1),1:01.359,0,,,,,,,Japan,,592,676,1763,2.978040541,M4,AT,4,R,Denny (Black Bolt Update),Patreon,power seems too high and is the reason for most of the second gained over standard nsx but assuming/ignoring extremely optimistic power figures car is fun to chase lap times in ,,,,,,,
1988,Honda,Prelude 2.0Si (BA4),1:19.403,0,SS,1:12.367,3,,,,Japan (USDM),,135,172,1209,8.955555556,FF,MT,3,L,Jake Grafton,RD,,,,,,,,
1993,Honda,Prelude (BB1),1:11.766,0,,,,,,,Japan,,178,199,1193,6.702247191,FF,MT,0.5,L,ACR,link,feels liks completely blown shocks under braking- do not recommend,,,,,,,
1993,Honda,Prelude Si VTEC (BB1),1:12.03,0,,,,,,,Japan,,182,178,1230,6.758241758,FF,MT,,R,Honda,irl,,,,,,,,
1996,Honda,Prelude Type S (BB6),1:11.25,0,,,,,,,Japan,,187,187,1310,7.005347594,FF,MT,,R,Honda,irl,damp track,,,,,,,
2000,Honda,Prelude SiR (BB6),1:12.106,0,SM,1:11.510,,,,,Japan,,172,191,1260,7.325581395,FF,MT,3,R,Wolf24,Discord,,,,,,,,
1999,Honda,S2000 (AP1),,,,,,,,,Japan,,201,186,1274,6.338308458,FR,MT,,R,Settings,from tu dc,,,,,,,,
1999,Honda,S2000 (AP1),1:09.957,0,SM,1:09.214,0,,,,Japan,,206,189,1240,6.019417476,FR,MT,4,R,Esprit3095,link,havent driven an s2000 in anger but this matches up to my extrapolation/image of the car- satisfying and 9000 rpm never gets old,,,,,,,
1999,Honda,S2000 HT (AP1),,,,,,,,,Japan,,220,197,1258,5.718181818,FR,MT,,R,AC Cars Reworked,link,,,,,,,,
1999,Honda,S2000 (AP1),1:09.31,0,,,,,,,Japan,,203,182,1265,6.231527094,FR,MT,,R,Honda,irl,,,,,,,,
2006,Honda,S2000 (AP2),1:09.333,0,SM,1:08.743,0,,,,Japan,,204,196,1250,6.12745098,FR,MT,4,R,Esprit3095,link,"same as esprit3095 ap1 but more torque less rpm, real time from best motoring seems rly fast relative but 1 second faster is probably possible with a much faster driver than me",,,,,,,
2004,Honda,S2000 (AP2),,,,,,,,,Japan (USDM),,204,196,1300,6.37254902,FR,MT,,L,American Touge Project,link,,,,,,,,
2007,Honda,S2000 Type S (AP2),1:07.725,0,,,,,,,Japan,,209,199,1270,6.076555024,FR,MT,,R,Honda,irl,,,,,,,,
1993,Hyundai,Scoupe 1.5i Turbo,1:18.269,0,ST,1:15.616,0,,,,South Korea,,117,171,1015,8.675213675,FF,MT,3.5,L,SDW,link,i can see why this car flopped but seems like a faithful recreation spare the optimistic power,,,,,,,
2003,Hyundai,Tuscani Elisa / Tiburon,1:12.621,0,,,,,,,South Korea,,148,213,1379,9.317567568,FF,MT,3,L,101Creative,link,,,,,,,,
2003,Hyundai,Tiburon 2.7,1:12.680,0,SM,1:12.219,0,,,,South Korea,,152,216,1370,9.013157895,FF,MT,3.5,L,?,link,little better driving than above but worse model,,,,,,,
2011,Hyundai,Genesis Coupe 3.8,1:08.046,1,SM,1:07.180,2,,,,South Korea,,263,374,1537,5.844106464,FR,MT,3.5,L,MNBA,link,gut feeling says too grippy but unsure not many lap times on other tracks with this car to compare with,,,,,,,
2014,Hyundai,Veloster Turbo R,1:11.765,0,SM,1:10.812,0,,,,South Korea,,182,284,1283,7.049450549,FF,MT,2,L,?,link,,,,,,,,
2018,Hyundai,Veloster N,,,,,,,,,South Korea,,239,316,1276,5.338912134,FF,MT,,L,RVZ,link,broken ffb,,,,,,,
2021,Hyundai,i20N,1:10.332,0,ST2,1:08.882,1,SM,1:06.040,3,South Korea,,196,261,1190,6.071428571,FF,MT,3,L,SDW,Patreon,"way too much power comically unrealistically fast on semis, too fast on ""st2""",,,,,,,
2020,Hyundai,i30N,1:08.941,0,,,,,,,South Korea,,230,321,1504,6.539130435,FF,MT,1.5,L,GermanRacer,yt,sylvain villet data tweaks from youtube comment,,,,,,,
2019,Hyundai,i30 N Fastback,1:07.944,0,SP,1:06.855,0,,,,South Korea,,239,316,1441,6.029288703,FF,MT,3.5,L,SDW,Patreon,,,,,,,,
2021,Hyundai,Nexo,1:14.955,0,,,,,,,South Korea,,164,395,1850,11.2804878,EF,AT,3.5,L,SDW,Patreon,,,,,,,,
2013,Hyundai,Genesis Sedan 3.8,,,,,,,,,South Korea,,264,405,1736,6.575757576,FR,AT,,R,LEX,link,,,,,,,,
2003,Infiniti,G35,1:10.237,0,SM,1:08.482,1,,,,Japan (USDM),,246,284,1686,6.853658537,FR,MT,3.5,L,101Creative (VR Driving),Patreon,,,,,,,,
2007,Nissan,"Skyline 370GT (""G37"")",1:09.539,0,,,,,,,Japan,,289,325,1650,5.709342561,FR,AT,,R,Nissan,irl,,,,,,,,
2011,Infiniti,G37,1:12.027,0,SM,1:08.309,0,,,,Japan (USDM),,263,284,1686,6.410646388,FR,MT,3,L,TGN,Patreon,stock tires feel like the most all seasony all seasons of all time,,,,,,,
2021,Infiniti,QX80,1:10.268,3,,,,,,,Japan (USDM),,435,688,2585,5.942528736,F4,AT,,L,GiorgiK0,link,too powerful too grippy lol at laptime,,,,,,,
2018,Italdesign,ZeroUno,,,,,,,,,Italy,,518,487,1525,2.944015444,M4,AT,,L,MNBA,Patreon,,,,,,,,
1991,Jaguar,XJR15,,,,,,,,,Britain,,393,494,1490,3.791348601,MR,MT,,L,?,link,too heavy,,,,,,,
1992,Jaguar,XJ220,,,,,,,,,Britain,,547,585,1470,2.68738574,MR,MT,,R,Assettodrive,link,,,,,,,,
1965,Jaguar,E-Type 4.2,,,,,,,,,Britain,,239,346,1170,4.89539749,FR,MT,,R,Velo,link,,,,,,,,
1986,Jaguar,XJS,,,,,,,,,Britain,,252,381,1800,7.142857143,FR,MT,,R,Tony Cooke,link,,,,,,,,
2015,Jaguar,XKR-S,,,,,,,,,Britain,,554,736,1750,3.158844765,FR,AT,,R,PedroBLR,link,power/torque little too high,,,,,,,
2015,Jaguar,079uo56666,,,,,,,,,Britain,,554,736,1805,3.258122744,FR,AT,,R,PedroBLR,link,power/torque little too high,,,,,,,
2014,Jaguar,F-Type R,1:04.937,0,,,,,,,Britain,,544,680,1650,3.033088235,FR,AT,3.5,L,Darek,link,only issue is braking force is too little car literally wont stop,,,,,,,
2017,Jaguar,F-Type SVR,1:03.763,0,,,,,,,Britain,,501,619,1650,3.293413174,FR,AT,3.5,L,101Creative,Patreon,tires feel a little too loose for stock p zeroes but i could be wrong here,,,,,,,
2016,Jaguar,F-Type SVR,1:03.11,0,,,,,,,Britain,,496,637,1814,3.657258065,FR,AT,,R,Jaguar,irl,,,,,,,,
2021,Jaguar,F-Type R,,,,,,,,,Britain,,502,600,1743,3.472111554,F4,AT,,L,EX Mods,,,,,,,,,
2010,Jaguar,XFR,,,,,,,,,Britain,,428,463,1998,4.668224299,FR,AT,,L,Assettoland,link,,,,,,,,
2015,Jaguar,XE S,,,,,,,,,Britain,,338,401,1600,4.733727811,FR,AT,,R,TGN,Patreon,,,,,,,,
1984,Jeep,XJ Cherokee 2.5,,,,,,,,,USA,,107,179,1310,12.24299065,F4,MT,,L,Jake Grafton,RD,,,,,,,,
1987,Jeep,XJ Cherokee 4.0,,,,,,,,,USA,,173,298,1418,8.196531792,F4,MT,,L,Jake Grafton,RD,,,,,,,,
2019,Jeep,Grand Cherokee Trackhawk,,,,,,,,,USA,,707,875,2499,3.534653465,F4,AT,,L,PTT Mods,Patreon,too much power but thats kinda the point isnt it,,,,,,,
2018,Kia,Stinger GT,,,,,,,,,South Korea,,344,474,1736,5.046511628,F4,AT,,L,Anton,Link,,,,,,,,
2020,Kia,K3 GT,,,,,,,,,South Korea,,196,261,1400,7.142857143,FF,B,,L,SDW,Patreon,,,,,,,,
2012,Kia,Bongo III,,,,,,,,,South Korea,,143,243,1930,13.4965035,FR,MT,,L,SDW,Patreon,ford transit playmate?,,,,,,,
2020,Kia,Carnival Hi Limousine 3.3 GDI,,,,,,,,,South Korea,,248,302,2130,8.588709677,FF,AT,,L,SDW,Patreon,honda odyssey playmate?,,,,,,,
2004,Koenigsegg,CC8S,,,,,,,,,Sweden,,667,730,1180,1.769115442,FR,MT,,L,Wack,link,,,,,,,,
2006,Koenigsegg,CCX,,,,,,,,,Sweden,,711,920,1280,1.800281294,FR,MT,,L,Henrique Drifter,link,,,,,,,,
2008,Koenigsegg,CCX,,,,,,,,,Sweden,,693,818,1280,1.847041847,FR,MT,,L,MaidBoy & ChemFlummi,link,,,,,,,,
2016,Koenigsegg,Agera RS,,,,,,,,,Sweden,,1276,1408,1320,1.034482759,FR,AT,,L,Mr DK,link,seems to have 1 MW package,,,,,,,
2020,Koenigsegg,Jesko,,,,,,,,,Sweden,,1116,1186,1420,1.272401434,MR,AT,,L,RTM (u. ATS),link,,,,,,,,
2020,Koenigsegg,Jesko Absolut,,,,,,,,,Sweden,,1478,1408,1320,0.893098782,MR,AT,,L,DanielDi,link,,,,,,,,
2020,Koenigsegg,Gemera,,,,,,,,,Sweden,,1530,2979,1988,1.299346405,M4,AT,,L,RemZona,link,,,,,,,,
2008,KTM,X-Bow R,,,,,,,,,Austria,,257,354,795,3.093385214,MR,MT,,L,Kunos,AC,,,,,,,,
2008,KTM,X-Bow,1:03.54,0,,,,,,,Austria,,201,304,865,4.303482587,MR,MT,,,,,,,,,,,,
1966,Lamborghini,400 GT,,,,,,,,,Italy,,268,320,1249,4.660447761,FR,MT,,L,Velo,link,,,,,,,,
1966,Lamborghini,Miura,,,,,,,,,Italy,,296,320,1245,4.206081081,MR,MT,,L,Kunos,AC,,,,,,,,
1983,Lamborghini,Countach,,,,,,,,,Italy,,377,415,1490,3.952254642,MR,MT,,L,Kunos,AC (DP2),,,,,,,,
1995,Lamborghini,Diablo,1:07.66,0,,,,,,,Italy,,405,491,1586,3.916049383,MR,MT,,L,Lamborghini,irl,,,,,,,,
1995,Lamborghini,Diablo VT,,,,,,,,,Italy,,403,475,1625,4.032258065,M4,MT,,L,A3DR,RD,,,,,,,,
1995,Lamborghini,Diablo SE30 Jota,,,,,,,,,Italy,,446,479,1450,3.251121076,MR,MT,,L,A3DR,RD,,,,,,,,
2005,Lamborghini,Murciélago,,,,,,,,,Italy,,497,565,1660,3.340040241,MR,B,,L,101Creative,Patreon,,,,,,,,
2006,Lamborghini,Murciélago LP640,,,,,,,,,Italy,,537,561,1665,3.100558659,M4,MT,,L,Spearmint,link,,,,,,,,
2012,Lamborghini,Murciélago LP640-4 SV,,,,,,,,,Italy,,627,573,1565,2.496012759,M4,AT,,L,TGN,Patreon,,,,,,,,
2011,Lamborghini,Aventador LP700-4,,,,,,,,,Italy,,715,690,1575,2.202797203,M4,AT,,L,?,link,power/tq too high,,,,,,,
2011,Lamborghini,Aventador LP700-4,,,,,,,,,Italy,,653,593,1575,2.41194487,M4,AT,,L,?,link,,,,,,,,
2013,Lamborghini,Veneno,,,,,,,,,Italy,,653,593,1455,2.228177642,M4,AT,,L,Zorrogsi,link,,,,,,,,
2015,Lamborghini,Aventador LP750-4 SV,,,,,,,,,Italy,,653,593,1525,2.335375191,M4,AT,,L,Kunos,AC (RP),,,,,,,,
2017,Lamborghini,Centenario Roadster,,,,,,,,,Italy,,671,593,1520,2.265275708,M4,AT,,L,LRAC Tuning,link,,,,,,,,
2019,Lamborghini,Aventador LP770-4 SVJ,,,,,,,,,Italy,,680,650,1520,2.235294118,M4,AT,,L,Steve Stirpe,Link,,,,,,,,
2022,Lamborghini,Countach LPI 800-4,,,,,,,,,Italy,,708,640,1591,2.247175141,M4,AT,,L,EX Mods,link,,,,,,,,
1982,Lamborghini,Jalpa,,,,,,,,,Italy,,226,283,1570,6.946902655,MR,MT,,L,BadBoy_Edition,link,,,,,,,,
2003,Lamborghini,Gallardo,,,,,,,,,Italy,,427,436,1430,3.348946136,M4,AT,,L,GeroDa74,link,,,,,,,,
2006,Lamborghini,Gallardo,1:04.971,0,,,,,,,Italy,,414,454,1591,3.842995169,M4,MT,,L,Lamborghini,irl,,,,,,,,
2008,Lamborghini,Gallardo LP560-4,1:03.235,0,,,,,,,Italy,,473,467,1570,3.319238901,M4,AT,,L,Lamborghini,irl,,,,,,,,
2008,Lamborghini,Gallardo LP560-4,,,,,,,,,Italy,,453,443,1500,3.311258278,M4,AT,,L,Spearmint,link,,,,,,,,
2009,Lamborghini,Gallardo LP550-2 VB,1:03.164,0,,,,,,,Italy,,454,504,1500,3.303964758,M4,AT,,L,Lamborghini,irl,,,,,,,,
2007,Lamborghini,Gallardo LP570-4 Superleggera,,,,,,,,,Italy,,466,454,1340,2.875536481,M4,AT,,L,Kunos,AC (DP3),,,,,,,,
2007,Lamborghini,Gallardo Superleggera,1:01.599,0,,,,,,,Italy,,483,481,1520,3.14699793,M4,AT,,L,Lamborghini,irl,,,,,,,,
2010,Lamborghini,Gallardo LP550-2 Bicolore ,,,,,,,,,Italy,,471,472,1470,3.121019108,MR,AT,,L,Jerry Wei,Patreon,,,,,,,,
2009,Lamborghini,Gallardo LP550-2 VB,,,,,,,,,Italy,,471,472,1470,3.121019108,MR,B,,L,Jerry Wei,Patreon,,,,,,,,
2013,Lamborghini,Gallardo LP560-2 50th A.,,,,,,,,,Italy,,481,472,1470,3.056133056,MR,B,,L,Jerry Wei,Patreon,,,,,,,,
2008,Lamborghini,Gallardo LP560-4,,,,,,,,,Italy,,481,472,1501,3.120582121,M4,B,,L,Jerry Wei,Patreon,,,,,,,,
2010,Lamborghini,Gallardo LP560-4 Bicolore,,,,,,,,,Italy,,481,472,1501,3.120582121,M4,AT,,L,Jerry Wei,Patreon,,,,,,,,
2014,Lamborghini,Huracan LP610-4,,,,,,,,,Italy,,519,488,1422,2.739884393,M4,AT,,L,Assettodrive,link,,,,,,,,
2021,Lamborghini,Huracan Evo RWD,,,,,,,,,Italy,,532,498,1389,2.610902256,MR,AT,,L,?,link,,,,,,,,
2017,Lamborghini,Huracan Performante LP640-4,,,,,,,,,Italy,,542,504,1382,2.549815498,M4,AT,,L,Kunos,AC,,,,,,,,
2021,Lamborghini,Huracan STO,,,,,,,,,Italy,,542,504,1382,2.549815498,MR,AT,,L,IPadmister,link,,,,,,,,
2021,Lamborghini,Huracan STO,,,,,,,,,Italy,,549,492,1340,2.440801457,MR,AT,,L,Thegost et al.,link,,,,,,,,
2018,Lamborghini,Urus,,,,,,,,,Italy,,574,777,2275,3.963414634,F4,AT,,L,TGN,Patreon,,,,,,,,
1972,Lancia,Fulvia Coupe 1.3S,,,,,,,,,Italy,,80,103,970,12.125,FF,MT,,L,Velo,link,,,,,,,,
1973,Lancia,Stratos HF Stradale,,,,,,,,,Italy,,163,189,980,6.012269939,MR,MT,,L,AC Cars Reworked,link,,,,,,,,
1992,Lancia,Delta HF Integrale Evoluzione,,,,,,,,,Italy,,187,257,1210,6.470588235,F4,MT,,L,Wolf24,Discord,,,,,,,,
1992,Lancia,Delta HF Integrale Evoluzione,,,,,,,,,Italy,,183,281,1300,7.103825137,F4,MT,,L,101Creative,Patreon,,,,,,,,
1992,Lancia,Delta HF Integrale Evoluzione,,,,,,,,,Italy,,178,255,1300,7.303370787,F4,MT,,L,ACR,FB,,,,,,,,
1967,Land Rover,109 Series IIa,,,,,,,,,Britain,,63,128,1647,26.14285714,F4,MT,,L,GeroDa74,link,,,,,,,,
2011,Land Rover,Range Rover Evoque,,,,,,,,,Britain,,242,363,1565,6.466942149,F4,AT,,L,?,link,,,,,,,,
2017,Land Rover,Range Rover Sport SVR,,,,,,,,,Britain,,509,693,2235,4.390962672,F4,AT,,L,TGN,Patreon,,,,,,,,
2020,Land Rover,Defender P400,,,,,,,,,Britain,,377,557,2228,5.909814324,F4,AT,,L,Rekumi,link,,,,,,,,
1997,Lexus,LS400,,,,,,,,,Japan,,254,374,1582,6.228346457,FR,AT,,L,TommyBoyZ,link,,,,,,,,
2019,Lexus,LS500,,,,,,,,,Japan,,318,451,2235,7.028301887,FR,AT,,L,Whistleblower,link,,,,,,,,
1998,Lexus,GS300,,,,,,,,,Japan,,203,257,1521,7.492610837,FR,AT,,L,PgamerTBP & Tommy BoyZ,link,,,,,,,,
2016,Lexus,LX570,,,,,,,,,Japan,,348,550,2585,7.42816092,F4,AT,,L,Dukaliusperformance,link,,,,,,,,
2018,Lexus,ES350 F Sport,,,,,,,,,Japan,,253,350,1700,6.719367589,F?,AT,,L,Aijiyizhihua,link,,,,,,,,
2009,Lexus,IS F,,,,,,,,,Japan,,362,442,1625,4.488950276,FR,AT,,L,?,link,,,,,,,,
2009,Lexus,IS F,,,,,,,,,Japan,,373,398,1690,4.530831099,FR,AT,,R,Osatubei+sira+Kopanda updated by Subetin,link,,,,,,,,
2007,Lexus,IS-F,1:07.087,0,,,,,,,Japan,,356,450,1728,4.853932584,FR,AT,,R,Lexus,irl,,,,,,,,
2016,Lexus,IS350 F Sport,,,,,,,,,Japan,,266,327,1600,6.015037594,FR,MT,,L,?,link,,,,,,,,
2017,Lexus,RC 350,,,,,,,,,Japan,,279,342,1764,6.322580645,FR,AT,,L,Assetto Garage (Zaki Ahmed),link,,,,,,,,
2017,Lexus,RC F,,,,,,,,,Japan,,415,532,1765,4.253012048,FR,AT,,L,Markos Kass,link,,,,,,,,
2017,Lexus,RC F,1:06.748,0,,,,,,,Japan,,402,496,1817,4.519900498,FR,AT,,R,Lexus,irl,,,,,,,,
2020,Lexus,RC F Track Edition,,,,,,,,,Japan,,527,691,1572,2.982922201,FR,AT,,L,TGN,Patreon,,,,,,,,
2011,Lexus,LFA,,,,,,,,,Japan,,480,423,1480,3.083333333,FR,AT,,L,Binary Motors (Jerry Wei),link,,,,,,,,
2011,Lexus,LFA,,,,,,,,,Japan,,511,469,1570,3.072407045,FR,AT,,L,Opperslang & Gadu Boyz Mod,link,,,,,,,,
2011,Lexus,LFA Nurburgring Package,,,,,,,,,Japan,,489,423,1480,3.026584867,FR,AT,,L,Binary Motors (Jerry Wei),link,,,,,,,,
2011,Lexus,LFA Nurburgring Package,,,,,,,,,Japan,,511,469,1480,2.8962818,FR,AT,,L,Opperslang & Gadu Boyz Mod,link,,,,,,,,
2017,Lexus,LC500,,,,,,,,,Japan,,514,541,1920,3.73540856,FR,AT,,L,0,link,hp too high,,,,,,,
1966,Lotus,Cortina,,,,,,,,,Britain,,141,179,670,4.75177305,FR,MT,,L,?,link,,,,,,,,
1966,Lotus,Europa Special,,,,,,,,,Britain,,119,146,610,5.12605042,MR,MT,,R,なんだこぱんだ,,,,,,,,,
1973,Lotus,Europa Special,,,,,,,,,Britain,,115,136,712,6.191304348,MR,MT,,R,,,,,,,,,,
1990,Lotus,Carlton,,,,,,,,,Britain,,313,446,1663,5.313099042,FR,MT,,L,101Creative,Patreon,,,,,,,,
1992,Lotus,Elan S2,,,,,,,,,Britain,,115,135,1040,9.043478261,FF,MT,,L,S Drift Workshop,link,,,,,,,,
1996,Lotus,Elise S1,1:09.70,0,,,,,,,Britain,,105,148,729,6.942857143,MR,MT,,R,Lotus,irl,,,,,,,,
1999,Lotus,Elise 190,,,,,,,,,Britain,,167,171,745,4.461077844,MR,MT,,L,101Creative,patreon,,,,,,,,
2004,Lotus,Elise 111R,1:07.14,0,,,,,,,Britain,,169,164,889,5.26035503,MR,MT,,R,Lotus,irl,,,,,,,,
2000,Lotus,340R,,,,,,,,,Britain,,154,156,701,4.551948052,MR,MT,,R,101Creative,Patreon,,,,,,,,
2007,Lotus,2-Eleven,,,,,,,,,Britain,,230,228,670,2.913043478,MR,MT,,L,Kunos,AC,,,,,,,,
2007,Lotus,2-Eleven,1:04.242,0,,,,,,,Britain,,228,217,776,3.403508772,MR,MT,,R,Lotus,irl,,,,,,,,
2008,Lotus,Elise SC,,,,,,,,,Britain,,191,189,929,4.863874346,MR,MT,,L,Kunos,AC,,,,,,,,
2010,Lotus,Exige Cup 260,1:05.879,0,,,,,,,Britain,,223,205,890,3.99103139,MR,MT,,R,Lotus,irl,,,,,,,,
2008,Lotus,Exige 240R,,,,,,,,,Britain,,223,211,930,4.170403587,MR,MT,,L,Kunos,AC,,,,,,,,
2009,Lotus,Exige Scura,,,,,,,,,Britain,,230,212,925,4.02173913,MR,MT,,L,Kunos,AC,,,,,,,,
2012,Lotus,Exige S,,,,,,,,,Britain,,297,344,1176,3.95959596,MR,MT,,L,Kunos,AC,,,,,,,,
2012,Lotus,Exige S,1:04.327,0,,,,,,,Britain,,309,358,1140,3.689320388,MR,MT,,R,Lotus,irl,,,,,,,,
2013,Lotus,Exige V6 Cup,,,,,,,,,Britain,,297,344,1080,3.636363636,MR,MT,,L,Kunos,AC,,,,,,,,
2018,Lotus,Exige Cup 430,,,,,,,,,Britain,,374,383,1176,3.144385027,MR,MT,,L,101Creative,Patreon,,,,,,,,
1980,Lotus,Esprit Turbo,,,,,,,,,Britain,,250,273,1300,5.2,MR,MT,,R,smallblockhero,link,hp/tq too high,,,,,,,
2002,Lotus,Esprit V8,,,,,,,,,Britain,,304,348,1380,4.539473684,MR,MT,,R,TN,Patreon,,,,,,,,
2014,Lotus,Evora S,,,,,,,,,Britain,,297,344,1385,4.663299663,MR,MT,,L,Kunos,AC,,,,,,,,
2014,Lotus,Evora GTE,,,,,,,,,Britain,,364,398,1395,3.832417582,MR,AT,,L,Kunos,AC,,,,,,,,
2014,Lotus,Evora GTE Carbon,,,,,,,,,Britain,,364,398,1285,3.53021978,MR,AT,,L,Kunos,AC,,,,,,,,
